Contributer,Date Completed,Main Source Name(s),Supporting Sources (If also can be found from other source(s)),Speaker/Candidate from Debate,Question Type,Question Text,Answer (paraphrase),Word Count,Evidence Quote,Evidence Location,Topics/Tags
Pavan Arani,"Sep 23, 2025",2024 Vice Presidential Debate (Machine Transcript),"https://cleanchoiceenergy.com/news/jd-vance-climate-change-clean-energy-environment?

https://fresh-energy.org/minnesotas-100-clean-electricity-bill-explained?","Vance, Walz",Complex,How did Vance and Walz differ in their approach to U.S. energy policy and supporting energy independence?,"Vance emphasized expanding domestic fossil fuel production and reducing reliance on foreign energy, while Walz focused on renewable energy investment and clean energy jobs as a long-term strategy.",28,"Vance: ""So if we actually care about getting cleaner air and cleaner water, the best thing to do is to double down and invest in American workers and the American people.""

Tim Walz: ""We're also producing more clean energy. So the, the, the solution for us is to continue to move forward. That climate change is real. Reducing our impact is absolutely critical.""","12:58:00, 14:45:00","Energy Policy, Fossil Fuels, Renewable Energy, Energy Independence, Economy"
Pavan Arani,"Sep 23, 2025",2024 Vice Presidential Debate (Machine Transcript),,"Vance, Walz",Complex,How did the candidates address the opioid crisis differently?,"Vance linked the crisis to illegal immigration and fentanyl flow, while Walz focused on addiction treatment and healthcare policy as solutions.",21,"Vance: ""I don't want people who are struggling with addiction to be deprived of their second chance because Kamala Harris led in fentanyl into our communities at record levels.""

Tim Walz: ""These are the experts and the Chamber of Commerce. And the Wall Street Journal said, pass this thing. Kamala Harris helped get there. 1500 new border agents detection for drugs, DOJ money to speed up these, uh, the adjudications on this just what America wants.""","18:54:00, 21:35:00","Opioid Crisis, Immigration, Healthcare Policy, Public Health"
Pavan Arani,"Sep 23, 2025",2024 Vice Presidential Debate (Machine Transcript),"https://www.businessinsider.com/jd-vance-childcare-plan-providers-teachers-criticize-policy-2024-9?

https://www.newamerica.org/education-policy/edcentral/where-does-tim-walz-stand-on-early-care-and-education/","Vance, Walz",Complex,How did Vance and Walz differ in their proposals for childcare and supporting working families?,"Vance emphasized flexible family choice in childcare, allowing options outside federal programs but also some government ones, while Walz focused on affordable, government-supported childcare to help families access workforce participation.",30,"Vance: ""We wanna promote choice in how we deliver family care and how we promote childcare""
Walz: ""I'm not opposed to what he's talking about. On on options. We've done scholarships, types of things. I think we need to be open to making the case.""", [01:22:01],"Childcare, Working Families, Policy, Government Programs"
Yakina Azza ,"Sep 24, 2025",FULL VIDEO: 2025 NYC Democratic mayoral primary debate | NBC New York,https://www.nycpba.org/news-items/newsday/2025/data-rate-of-cops-leaving-nypd-so-far-outpacing-2024/,"Mamdani, Zohran",Simple ,"How many NYPD officers are leaving the force each month, according to Zohran Mamdani?",Mamdani claims bout 200 officers per month leave the police force each month. ,13,Zohran: “They are leaving this force 200 of them each month”,[32:30],Public safety / NYPD staffing
Yakina Azza ,"Sep 24, 2025",FULL VIDEO: 2025 NYC Democratic mayoral primary debate | NBC New York,https://www.governor.ny.gov/news/safer-subways-governor-hochul-announces-subway-crime-fell-historic-lows-summer,"Tilsen, Whitney",Simple ,"What is the current trend in transit crime this year, according to Whitney Tilson?",According to Whitney Tilson transit crime is down year-to-date.,9,"Whitney: “…in fact, transit crime is down this year.”",[31:23],Public safety 
Yakina Azza ,"Sep 24, 2025",FULL VIDEO: 2025 NYC Democratic mayoral primary debate | NBC New York,https://www.census.gov/quickfacts/fact/table/newyorkcitynewyork/PST045222,"Lander, Brad ",Simple ,"What share of NYC residents are foreign-born, per Brad Lander?","According to Lander, 40% of the 8 million New Yorkers are foreign born.",13,"Lander: “As you well know, 40% of the 8 million New Yorkers are foreign born.”",[1:11:58],"Immigration, Demographics "
Yakina Azza ,"Sep 24, 2025",FULL VIDEO: 2025 NYC Democratic mayoral primary debate | NBC New York,https://rentguidelinesboard.cityofnewyork.us/resources/apartment-hunting/housing-types/,"Mamdani, Zohran",Simple ,"How many New Yorkers live in rent-stabilized housing, according to Zohran Mamdani?","According to Zohran, close to 2.5 million people live in rent-stabilized housing in New York. ",15,Zohran: “If you are one of the close to 2 and a half million New Yorkers who live in rent stabilized housing…”,[1:36:08],Housing
Yakina Azza ,"Sep 24, 2025",FULL VIDEO: 2025 NYC Democratic mayoral primary debate | NBC New York,https://www.nysenate.gov/newsroom/press-releases/2023/jessica-ramos/senator-jessica-ramos-issues-statement-minimum-wage-deal,"Ramos, Jessica",Simple ,What did Jessica Ramos do as chair of the labor committee regarding the minimum wage?,Jessica Ramos raised the minimum wage and tied it to inflation as chair of the labor committee.,17,"Ramos: ""This is why I set out as chair of the labor committee in the New York State Senate to raise the minimum wage to tie it to inflation. And I'm proud to be the last person to have done that.""",[4:23],Minimum wage/Inflation 
Yakina Azza ,"Sep 24, 2025",FULL VIDEO: 2025 NYC Democratic mayoral primary debate | NBC New York,https://www.nyc.gov/mayors-office/news/2025/06/mayor-adams-helps-negotiate-agreement-add-nearly-50-percent-more-affordable-housing-units-to,"Adams, Adrienne",Simple ,How many new affordable housing units does Adrienne Adams propose in her new plan?,"She proposes over 80,000 new units of affordable housing for New Yorkers.",12,"Adams: ""now with the new proposal that we have in front of us, we have over 80,000 new units of housing that will be coming up and will be affordable to the people of the city of New York.""",[3:00],Housing/Affordability
Yakina Azza ,"Sep 24, 2025",FULL VIDEO: 2025 NYC Democratic mayoral primary debate | NBC New York,https://council.nyc.gov/press/2025/08/14/2940/         https://www.nytimes.com/2025/03/06/nyregion/brad-lander-housing-plan.html,"Adrienne Adams, Brad Lander",Complex,How do Adrienne Adams' and Brad Lander's housing plans differ in terms of the number of units proposed and their overall focus?,"Adrienne Adams focuses on immediate delivery through rezonings and existing proposals, aiming for over 80,000 new affordable units, emphasizing current council achievements like 120,000 units already built. Brad Lander proposes a more ambitious long-term plan of 500,000 homes over 10 years, declaring a housing emergency and targeting specific sites like golf courses for development.",54,"Adams: ""now with the new proposal that we have in front of us, we have over 80,000 new units of housing""; Lander: ""I'll get 500,000 homes built over the next 10 years.""",[3:00] [3:45],Housing/Affordability
Yakina Azza ,"Sep 24, 2025",FULL VIDEO: 2025 NYC Democratic mayoral primary debate | NBC New York,https://nypost.com/2025/03/04/us-news/andrew-cuomo-blasts-defund-the-police-in-interview-with-stephen-a-smith-despite-once-calling-movement-legitimate/                https://nypost.com/2024/09/23/us-news/andrew-cuomo-labels-defund-the-police-the-dumbest-words-ever-uttered/,Andrew Cuomo,Complex,What facts support or contradict Andrew Cuomo's claim in the debate that he never supported defund the police?,"Cuomo's claim is contradicted by his past statements acknowledging ""defund the police"" as a legitimate idea, though he later criticized it as harmful; supporting facts show his evolution to opposing it strongly",32,"Cuomo: ""I never supported defund the police. ... I said I don't support.",[30:38],Police/Funding
Yakina Azza ,"Sep 24, 2025",FULL VIDEO: 2025 NYC Democratic mayoral primary debate | NBC New York,https://www.cbsnews.com/newyork/news/andrew-cuomo-covid-nursing-home-deaths-accusations/             https://www.cnn.com/2025/05/20/politics/andrew-cuomo-department-of-justice-investigation,"Andrew Cuomo, Brad Lander",Complex,"What facts support or contradict Andrew Cuomo's claim that he did not undercount nursing home deaths or lie to Congress, in contrast to Brad Lander's accusations?","Andrew Cuomo maintains that New York's nursing home death reporting was accurate, ranking 38th out of 50 states, and denies personal involvement in undercounting or lying in testimony; however, this is contradicted by congressional findings and a DOJ investigation alleging he misled on the report and testimony, supporting Lander's corruption accusations tied to protecting his book deal.",57,"Cuomo: ""No, we did not undercount any deaths when they are all counted. We're number 38 out of 50...""; Lander: ""It's not only that Andrew Cuomo lied to Congress... He also lied to the grieving families... to protect his $5 million book deal. That's corruption.""",[18:39] [16:05],Covid/Misreporting
Yakina Azza ,"Sep 24, 2025",FULL VIDEO: 2025 NYC Democratic mayoral primary debate | NBC New York,https://www.politico.com/news/2025/04/14/bill-ackman-andrew-cuomo-donation-  00290306 https://www.nytimes.com/2025/06/02/nyregion/cuomo-super-pac-billionaire-donations.html,"Andrew Cuomo, Zohran Mamdani",Complex,"What facts support Zohran Mamdani's claim that Andrew Cuomo's campaign is funded by Trump-aligned billionaires, and how does Cuomo respond?","Mamdani's claim is supported by donations from Trump backers like Bill Ackman and other Republican-aligned billionaires to Cuomo's super PAC, which raised millions from such sources; Cuomo counters by emphasizing he works for New Yorkers regardless of donors and highlights his labor union endorsements over billionaire influence.",47,"Mamdani: ""My campaign is not funded by the very billionaires who put Donald Trump in DC. I don't have to pick up the phone from Bill Aman or Ken Langon.""; Cuomo: ""I work for the people... I don't care who gave me what. Uh, I do what is right.""",[14:05] [50:01],Campaign Funding
